기준연월,시·도코드,시·도명,시·군·구 코드,시·군·구 명,체류강도_지표코드,체류특성,체류특성_강도지수,,"※ ‘체류특성_강도지수’는 
실제 방문자 수 또는 비율(%)을 의미하는 값이 아니라, 
타권역 방문자 비중·숙박 비중·숙박일수별 방문자 수 
등을 기반으로 산출된 관광 체류 강도 세부 지표값입니다. 
따라서 수치가 높을수록 해당 체류 특성이 
강하게 나타나는 것으로 해석합니다.",,,,,
202504,26,부산광역시,26110,중구,2102,숙박 비중,54.62,,,,,,,
202504,26,부산광역시,26110,중구,2103,1박 방문자수,63.96,,,,,,,
202504,26,부산광역시,26110,중구,2104,2박 방문자수,63.99,,,,,,,
202504,26,부산광역시,26110,중구,2105,3박 방문자수,64.55,,,,,,,
202504,26,부산광역시,26140,서구,2101,타권역 방문자 비중,83.11,,,,,,,
202504,26,부산광역시,26140,서구,2102,숙박 비중,61.18,,,,,,,
202504,26,부산광역시,26140,서구,2103,1박 방문자수,61.01,,,,,,,
202504,26,부산광역시,26140,서구,2104,2박 방문자수,64.72,,,,,,,
202504,26,부산광역시,26140,서구,2105,3박 방문자수,69.56,,,,,,,
202504,26,부산광역시,26170,동구,2101,타권역 방문자 비중,105.18,,,,,,,
202504,26,부산광역시,26170,동구,2102,숙박 비중,54.89,,,,,,,
202504,26,부산광역시,26170,동구,2103,1박 방문자수,63.13,,,,,,,
202504,26,부산광역시,26170,동구,2104,2박 방문자수,63.86,,,,,,,
202504,26,부산광역시,26170,동구,2105,3박 방문자수,66.54,,,,,,,
202504,26,부산광역시,26200,영도구,2101,타권역 방문자 비중,71.25,,,,,,,
202504,26,부산광역시,26200,영도구,2102,숙박 비중,58.11,,,,,,,
202504,26,부산광역시,26200,영도구,2103,1박 방문자수,57.84,,,,,,,
202504,26,부산광역시,26200,영도구,2104,2박 방문자수,61.36,,,,,,,
202504,26,부산광역시,26200,영도구,2105,3박 방문자수,64.37,,,,,,,
202504,26,부산광역시,26230,부산진구,2101,타권역 방문자 비중,77.89,,,,,,,
202504,26,부산광역시,26230,부산진구,2102,숙박 비중,59.54,,,,,,,
202504,26,부산광역시,26230,부산진구,2103,1박 방문자수,84.13,,,,,,,
202504,26,부산광역시,26230,부산진구,2104,2박 방문자수,79.13,,,,,,,
202504,26,부산광역시,26230,부산진구,2105,3박 방문자수,94.78,,,,,,,
202504,26,부산광역시,26260,동래구,2101,타권역 방문자 비중,72.74,,,,,,,
202504,26,부산광역시,26260,동래구,2102,숙박 비중,58.34,,,,,,,
202504,26,부산광역시,26260,동래구,2103,1박 방문자수,67.24,,,,,,,
202504,26,부산광역시,26260,동래구,2104,2박 방문자수,69.78,,,,,,,
202504,26,부산광역시,26260,동래구,2105,3박 방문자수,79.7,,,,,,,
202504,26,부산광역시,26290,남구,2101,타권역 방문자 비중,63.84,,,,,,,
202504,26,부산광역시,26290,남구,2102,숙박 비중,61.08,,,,,,,
202504,26,부산광역시,26290,남구,2103,1박 방문자수,65.71,,,,,,,
202504,26,부산광역시,26290,남구,2104,2박 방문자수,68.14,,,,,,,
202504,26,부산광역시,26290,남구,2105,3박 방문자수,76.9,,,,,,,
202504,26,부산광역시,26320,북구,2101,타권역 방문자 비중,53.09,,,,,,,
202504,26,부산광역시,26320,북구,2102,숙박 비중,61.03,,,,,,,
202504,26,부산광역시,26320,북구,2103,1박 방문자수,62.14,,,,,,,
202504,26,부산광역시,26320,북구,2104,2박 방문자수,66,,,,,,,
202504,26,부산광역시,26320,북구,2105,3박 방문자수,73.73,,,,,,,
202504,26,부산광역시,26350,해운대구,2101,타권역 방문자 비중,69.72,,,,,,,
202504,26,부산광역시,26350,해운대구,2102,숙박 비중,68.83,,,,,,,
202504,26,부산광역시,26350,해운대구,2103,1박 방문자수,102.75,,,,,,,
202504,26,부산광역시,26350,해운대구,2104,2박 방문자수,104.2,,,,,,,
202504,26,부산광역시,26350,해운대구,2105,3박 방문자수,98.16,,,,,,,
202504,26,부산광역시,26380,사하구,2101,타권역 방문자 비중,53.13,,,,,,,
202504,26,부산광역시,26380,사하구,2102,숙박 비중,63.62,,,,,,,
202504,26,부산광역시,26380,사하구,2103,1박 방문자수,63.3,,,,,,,
202504,26,부산광역시,26380,사하구,2104,2박 방문자수,66.65,,,,,,,
202504,26,부산광역시,26380,사하구,2105,3박 방문자수,77.4,,,,,,,
202504,26,부산광역시,26410,금정구,2101,타권역 방문자 비중,68.21,,,,,,,
202504,26,부산광역시,26410,금정구,2102,숙박 비중,57.59,,,,,,,
202504,26,부산광역시,26410,금정구,2103,1박 방문자수,61.1,,,,,,,
202504,26,부산광역시,26410,금정구,2104,2박 방문자수,65.4,,,,,,,
202504,26,부산광역시,26410,금정구,2105,3박 방문자수,74.25,,,,,,,
