연월,행정구,외국인 방문자 수,외지인 방문자 수,현지인 방문자 수,전체 수
202409,동래구,15389,3442922,3933657,7391968
202409,부산진구,197753,5984940,5957063,12139756
202409,북구,14191,2154663,4515900,6684754
202409,사상구,44960,2569648,2708240,5322848
202409,사하구,102928,2177378,3877734,6158040
202409,서구,135800,1813014,1537004,3485818
202409,수영구,102487,3206304,2573844,5882635
202409,연제구,27880,2625231,1644209,4297320
202409,영도구,163730,1634157,1825198,3623085
202409,중구,196219,3270026,1133800,4600045
202409,해운대구,272576,5775126,7114594,13162296
202410,강서구,404488,3641670,2694706,6740864
202410,금정구,51717,2479054,3616750,6147521
202410,기장군,138245,3470320,3019636,6628201
202410,남구,158497,2527980,4186567,6873044
202410,동구,218813,3146388,1495546,4860747
202410,동래구,19601,3165186,4105661,7290448
202410,부산진구,240902,5841364,6337492,12419758
202410,북구,14691,2038918,4725746,6779355
202410,사상구,56935,2444603,2828102,5329640
202410,사하구,141390,2049579,4228620,6419589
202410,서구,174706,1739283,1596522,3510511
202410,수영구,136114,3148694,2886387,6171195
202410,연제구,33816,2487090,1927258,4448164
202410,영도구,182236,1506134,1903436,3591806
202410,중구,260001,3381696,1217234,4858931
202410,해운대구,372731,5685292,7382858,13440881
202411,강서구,352111,3428288,2593710,6374109
202411,금정구,44886,2483422,3671104,6199412
202411,기장군,112902,3285905,2943689,6342496
202411,남구,128803,2504750,4213506,6847059
202411,동구,161824,3090255,1434934,4687013
202411,동래구,17774,3147190,4017755,7182719
202411,부산진구,201187,5855224,6216738,12273149
202411,북구,15097,1980286,4580390,6575773
202411,사상구,43482,2279291,2750248,5073021
202411,사하구,112257,1974668,4407246,6494171
202411,서구,132319,1642095,1573194,3347608
202411,수영구,105061,3269830,2830908,6205799
202411,연제구,29055,2536961,2112652,4678668
202411,영도구,149842,1437874,1896573,3484289
202411,중구,207089,3240800,1158734,4606623
202411,해운대구,273051,5624714,7277742,13175507
202412,강서구,337784,3367718,2752908,6458410
202412,금정구,23450,2413190,3817292,6253932
202412,기장군,99397,3394769,3091858,6586024
202412,남구,111424,2597634,4374685,7083743
202412,동구,138357,3067561,1512494,4718412
202412,동래구,14666,3349220,4296652,7660538
202412,부산진구,167936,6312614,6583448,13063998
202412,북구,14731,1999210,4782645,6796586
202412,사상구,33789,2316304,2891245,5241338
202412,사하구,99761,2001573,4559642,6660976
202412,서구,121536,1692068,1646484,3460088
202412,수영구,78863,3290861,3009206,6378930
202412,연제구,23946,2720172,2324654,5068772
202412,영도구,145031,1543406,1945968,3634405
202412,중구,176698,3532680,1202628,4912006
202412,해운대구,228251,5872240,7588637,13689128
202501,강서구,303854,3570074,2556183,6430111
202501,금정구,18890,2487446,3445589,5951925
202501,기장군,81272,3685672,2971630,6738574
202501,남구,93876,2584502,3995842,6674220
202501,동구,99478,3119403,1432662,4651543
202501,동래구,14396,3497193,4172966,7684555
202501,부산진구,136653,6238068,6136599,12511320
