행정구,기준연월,업종대분류,현지인 소비액(만원),외지인 소비액(만원),외국인 소비액(만원)
금정구,202501,식음료업,0,1010000,8475
금정구,202501,여가서비스업,9125,105727,1464
금정구,202501,여행업,0,6674,0
금정구,202501,운송업,301,328169,950
금정구,202501,의료웰니스업,12610,71944,1883
금정구,202502,쇼핑업,74571,672167,10800
금정구,202502,숙박업,3768,7625,153
금정구,202502,식음료업,0,849216,7885
금정구,202502,여가서비스업,9485,86694,1522
금정구,202502,여행업,0,6147,0
금정구,202502,운송업,0,306363,1023
금정구,202502,의료웰니스업,11749,72007,2990
금정구,202503,쇼핑업,114750,887180,20065
금정구,202503,숙박업,3510,9573,272
금정구,202503,식음료업,0,1090000,15977
금정구,202503,여가서비스업,15507,133065,2580
금정구,202503,여행업,0,12086,275
금정구,202503,운송업,281,351086,1679
금정구,202503,의료웰니스업,10120,80057,2471
금정구,202504,쇼핑업,98157,806904,21515
금정구,202504,숙박업,4289,9303,140
금정구,202504,식음료업,0,1030000,18847
금정구,202504,여가서비스업,10666,131248,2311
금정구,202504,여행업,0,4203,15
금정구,202504,운송업,0,321168,1706
금정구,202504,의료웰니스업,8232,69744,1873
금정구,202505,쇼핑업,110442,898849,21380
금정구,202505,숙박업,3406,10611,489
금정구,202505,식음료업,0,1200000,19703
금정구,202505,여가서비스업,16187,143287,2182
금정구,202505,여행업,390,3843,0
금정구,202505,운송업,0,341306,1604
금정구,202505,의료웰니스업,11418,81040,2538
금정구,202506,쇼핑업,89865,752262,19664
금정구,202506,숙박업,3056,8933,369
금정구,202506,식음료업,0,1010000,18377
금정구,202506,여가서비스업,10977,128606,2005
금정구,202506,여행업,0,3996,0
금정구,202506,운송업,274,313841,1843
금정구,202506,의료웰니스업,9572,78259,3081
금정구,202507,쇼핑업,104620,742299,17362
금정구,202507,숙박업,3065,10274,1044
금정구,202507,식음료업,0,1030000,14171
금정구,202507,여가서비스업,13405,134689,1488
금정구,202507,여행업,1821,10210,0
금정구,202507,운송업,285,358391,1886
금정구,202507,의료웰니스업,9849,78451,2213
금정구,202508,쇼핑업,84481,727434,18668
금정구,202508,숙박업,3563,9413,558
금정구,202508,식음료업,0,1060000,12665
금정구,202508,여가서비스업,13645,138261,1613
금정구,202508,여행업,0,2344,44
금정구,202508,운송업,0,364143,1575
금정구,202508,의료웰니스업,9416,77914,2228
금정구,202509,쇼핑업,86495,822009,25116
금정구,202509,숙박업,2710,15472,220
금정구,202509,식음료업,0,1010000,20646
금정구,202509,여가서비스업,13499,143126,2001
금정구,202509,여행업,0,5619,109
금정구,202509,운송업,439,329506,1942
금정구,202509,의료웰니스업,7731,71533,3125
금정구,202510,쇼핑업,108108,893523,28241
금정구,202510,숙박업,3909,17302,372
금정구,202510,식음료업,0,1180000,22556
금정구,202510,여가서비스업,16265,164322,1640
금정구,202510,여행업,0,8970,35
금정구,202510,운송업,348,357920,2299
금정구,202510,의료웰니스업,12181,84286,4159
금정구,202511,쇼핑업,115869,864334,24553
금정구,202511,숙박업,2475,10504,356
금정구,202511,식음료업,0,1090000,23675
금정구,202511,여가서비스업,10666,143254,2305
금정구,202511,여행업,0,13598,12
금정구,202511,운송업,426,365339,1800
금정구,202511,의료웰니스업,13005,78530,3827
금정구,202512,쇼핑업,102724,813821,23256
금정구,202512,숙박업,3730,12152,867
금정구,202512,식음료업,0,1130000,19541
금정구,202512,여가서비스업,13005,122315,2137
금정구,202512,여행업,53,22700,0
금정구,202512,운송업,292,370918,1648
금정구,202512,의료웰니스업,9857,80553,3155
금정구,202601,쇼핑업,90237,787621,13032
금정구,202601,숙박업,4332,9767,218
금정구,202601,식음료업,0,1040000,11046
금정구,202601,여가서비스업,8583,106369,1588
금정구,202601,여행업,1760,4488,17
금정구,202601,운송업,0,354582,1231
금정구,202601,의료웰니스업,9509,78734,1850
금정구,202602,쇼핑업,78039,760415,12779
금정구,202602,숙박업,3626,9600,345
금정구,202602,식음료업,0,1050000,10675
금정구,202602,여가서비스업,9969,115451,1011
금정구,202602,여행업,941,5728,0
금정구,202602,운송업,0,322043,1333
금정구,202602,의료웰니스업,9767,72449,1823
금정구,202603,쇼핑업,119180,917699,28131
금정구,202603,숙박업,2864,11696,350
금정구,202603,식음료업,0,1140000,26367
금정구,202603,여가서비스업,13063,144666,3449
금정구,202603,여행업,16,4754,9
금정구,202603,운송업,0,373662,2176
금정구,202603,의료웰니스업,8161,87564,3635
금정구,202604,쇼핑업,109493,839769,26748
금정구,202604,숙박업,3338,8462,355
금정구,202604,식음료업,0,1080000,30099
금정구,202604,여가서비스업,16331,159598,3382
금정구,202604,여행업,0,1701,0
금정구,202604,운송업,453,359678,2743
금정구,202604,의료웰니스업,9146,70582,2709
금정구,202605,쇼핑업,116605,925316,30418
금정구,202605,숙박업,3032,14004,564
금정구,202605,식음료업,0,1270000,25470
금정구,202605,여가서비스업,14081,173042,4438
금정구,202605,여행업,0,3895,0
금정구,202605,운송업,0,398889,2770
금정구,202605,의료웰니스업,11434,83760,4218
금정구,202606,쇼핑업,94641,786169,28057
금정구,202606,숙박업,3484,7642,307
금정구,202606,식음료업,0,1040000,22846
금정구,202606,여가서비스업,13493,162604,2689
금정구,202606,여행업,26,1339,7
금정구,202606,운송업,0,375507,3065
금정구,202606,의료웰니스업,6281,82973,4154
기장군,202301,쇼핑업,17950,4320000,120754
기장군,202301,숙박업,9812,379874,8163
기장군,202301,식음료업,0,1780000,7940
기장군,202301,여가서비스업,21164,293051,2738
기장군,202301,여행업,126,39,0
기장군,202301,운송업,247,766026,887
기장군,202301,의료웰니스업,2340,38454,722
기장군,202302,쇼핑업,13365,3790000,114476
기장군,202302,숙박업,8260,313356,3995
기장군,202302,식음료업,0,1580000,7244
기장군,202302,여가서비스업,19883,355326,3385
기장군,202302,여행업,376,110,0
기장군,202302,운송업,108,666539,759
기장군,202302,의료웰니스업,2031,33747,734
기장군,202303,쇼핑업,17404,4400000,184434
기장군,202303,숙박업,8717,271830,14098
기장군,202303,식음료업,0,1670000,11899
