기준연월,시군구명,일평균_이용금액(만원),일평균_이용건수,건당_평균이용금액(만원)
202503,남구,422550.3019,146307,2.888107
202503,동구,217254.7229,71699,3.030094
202503,동래구,579291.9903,157353,3.68148
202503,부산진구,931794.106,271701,3.429484
202503,북구,540088.0292,159825,3.379246
202503,사상구,413445.7737,128894,3.207642
202503,사하구,451523.7363,149526,3.0197
202503,서구,215147.8633,56495,3.808264
202503,수영구,357750.6817,114888,3.113908
202503,연제구,408913.5829,119886,3.410854
202503,영도구,129534.1676,47222,2.743089
202503,중구,236916.4399,64016,3.700894
202503,해운대구,947443.8924,210462,4.501734
202504,강서구,426545.6652,92340,4.619295
202504,금정구,411684.8766,136540,3.015123
202504,기장군,457868.8864,102191,4.480521
202504,남구,430825.1401,153039,2.815133
202504,동구,226947.1737,74764,3.035514
202504,동래구,606986.7951,165710,3.662946
202504,부산진구,948248.374,281180,3.372389
202504,북구,546158.7725,164944,3.311177
202504,사상구,426482.1955,134122,3.179808
202504,사하구,462524.4155,156169,2.961692
202504,서구,233469.737,61076,3.82261
202504,수영구,368440.8273,118431,3.111017
202504,연제구,421899.5992,124891,3.378143
202504,영도구,130938.1046,49006,2.671879
202504,중구,239283.3793,65701,3.642005
202504,해운대구,961821.0234,218146,4.40907
202505,강서구,415481.0988,92013,4.515461
202505,금정구,407598.6649,134137,3.038674
202505,기장군,498747.5208,108360,4.60269
202505,남구,428629.4565,148720,2.882124
202505,동구,229495.7534,76181,3.012506
202505,동래구,610776.5279,166467,3.669055
202505,부산진구,962722.725,287313,3.35078
202505,북구,550632.6733,165651,3.324053
202505,사상구,418282.2428,131434,3.182451
202505,사하구,459269.0714,155018,2.962682
202505,서구,221365.9997,58842,3.762041
202505,수영구,383254.243,124227,3.085112
202505,연제구,411483.2672,123078,3.343272
202505,영도구,137303.5171,49902,2.751463
202505,중구,255543.9622,70072,3.646877
202505,해운대구,969401.7586,225571,4.297546
202506,강서구,404716.0403,93197,4.342587
202506,금정구,393016.2558,132732,2.960976
202506,기장군,459974.7613,106240,4.329582
202506,남구,424056.4282,150907,2.810051
202506,동구,222471.8965,75952,2.929112
202506,동래구,602040.8783,167711,3.589752
202506,부산진구,943520.3328,285332,3.306746
202506,북구,553013.5182,167404,3.303467
202506,사상구,412812.5514,131656,3.135539
202506,사하구,450406.4984,154827,2.909095
202506,서구,224627.814,59476,3.776781
202506,수영구,366717.548,122023,3.005315
202506,연제구,412314.2436,124725,3.305787
202506,영도구,132939.9679,49939,2.662047
202506,중구,240420.221,68301,3.52001
202506,해운대구,936290.9112,226108,4.140901
202507,강서구,417219.3256,96172,4.338262
202507,금정구,391434.3069,126922,3.084054
202507,기장군,460096.7896,107074,4.296998
202507,남구,424701.6188,146065,2.907621
202507,동구,228909.8153,79526,2.878427
202507,동래구,611747.7916,170070,3.597035
202507,부산진구,978538.7394,295705,3.309172
202507,북구,563877.8001,169704,3.322714
202507,사상구,417895.6292,131463,3.178808
202507,사하구,462276.9952,156556,2.95279
202507,서구,238043.0778,61219,3.888386
202507,수영구,382806.303,127851,2.99416
202507,연제구,424622.222,128060,3.315807
202507,영도구,135456.452,50672,2.673201
202507,중구,242697.2491,71279,3.404891
202507,해운대구,957077.7141,239452,3.99695
202508,강서구,397399.1123,95014,4.182532
202508,금정구,373941.8609,122817,3.044708
202508,기장군,467863.506,111171,4.208503
202508,남구,403048.5459,142995,2.81862
202508,동구,218454.5026,79565,2.745611
202508,동래구,578042.0383,167848,3.443842
202508,부산진구,924703.6616,293633,3.149182
202508,북구,537730.044,165874,3.241798
202508,사상구,393747.5821,128034,3.075336
202508,사하구,443014.7008,151788,2.918641
202508,서구,219294.5451,59259,3.700612
202508,수영구,379298.0851,129736,2.923615
202508,연제구,393614.902,123646,3.183402
202508,영도구,129882.7276,49811,2.607511
202508,중구,235949.2086,72565,3.251557
202508,해운대구,938251.9684,240808,3.896266
202509,강서구,451340.9754,96566,4.673912
202509,금정구,422834.9821,137551,3.074023
202509,기장군,481492.3265,105090,4.581714
202509,남구,459132.9382,155713,2.948584
202509,동구,239375.4333,78382,3.053959
202509,동래구,634342.2541,169411,3.744398
202509,부산진구,1030801.3517,299082,3.446551
202509,북구,597267.2542,170496,3.503116
202509,사상구,450283.8113,136193,3.306218
202509,사하구,484833.7979,159186,3.045706
202509,서구,253636.5334,63886,3.970143
202509,수영구,394903.0167,123123,3.207386
202509,연제구,455790.7926,128531,3.546155
202509,영도구,141070.0983,51313,2.749208
202509,중구,260337.6568,71195,3.656685
202509,해운대구,990641.7685,232141,4.267414
202510,강서구,425382.3409,94369,4.507649
202510,금정구,391012.9654,130553,2.995052
202510,기장군,530678.9848,110437,4.805264
202510,남구,412909.217,146878,2.811239
202510,동구,226074.1057,75040,3.012715
202510,동래구,591991.5421,163354,3.623979
202510,부산진구,981489.9347,292539,3.355074
202510,북구,578505.2326,167450,3.454794
202510,사상구,414775.6882,129346,3.206714
202510,사하구,453556.3637,152353,2.97701
202510,서구,228082.4766,59690,3.821117
202510,수영구,379070.7012,123339,3.073405
202510,연제구,410581.043,121720,3.37316
202510,영도구,133830.4476,49597,2.698358
202510,중구,267367.8495,74909,3.569235
202510,해운대구,953744.1695,227813,4.186522
202511,강서구,452623.9282,95814,4.723985
202511,금정구,432411.0918,138671,3.118252
202511,기장군,523742.5014,107724,4.861892
202511,남구,450226.281,154974,2.905173
202511,동구,244989.8137,78166,3.134225
202511,동래구,635283.5332,170977,3.715608
202511,부산진구,1048609.992,304673,3.441756
202511,북구,583483.0207,169269,3.447075
202511,사상구,431760.0468,133093,3.244048
202511,사하구,475935.5585,155451,3.061644
202511,서구,239369.1173,61947,3.864095
202511,수영구,394467.1491,124364,3.171876
202511,연제구,433666.3979,128027,3.387304
202511,영도구,136879.5717,50029,2.736005
202511,중구,270052.6093,72661,3.71661
202511,해운대구,1019822.8503,233024,4.376471
202512,강서구,503567.488,97069,5.187727
202512,금정구,429487.7914,134028,3.204463
202512,기장군,513569.2276,104883,4.896592
202512,남구,477448.772,155209,3.076167
202512,동구,257553.8586,79002,3.260093
202512,동래구,684930.4595,170792,4.010319
202512,부산진구,1122642.4229,306286,3.66534
202512,북구,574743.8852,162018,3.547408
202512,사상구,461401.8773,130984,3.522582
202512,사하구,492189.9856,152863,3.219811
202512,서구,271164.789,60964,4.447949
202512,수영구,427460.3466,122916,3.477662
202512,연제구,462396.4455,127192,3.635421
202512,영도구,144854.4896,49920,2.901733
202512,중구,297146.8972,76268,3.896089
202512,해운대구,1097623.5055,236795,4.635332
