연월,지역,원업종,6대업종,6대업종매핑신뢰도,폐업수,분석단위,지역합계검증,모델사용권장,원천발행연월,원천값유형,중복검증원천수
202411,사상구,소매업,쇼핑업,중간,75,지역업종,통과,지역업종학습,202511,전년동월,1
202411,사상구,음식점업,식음료업,높음,32,지역업종,통과,지역업종학습,202511,전년동월,1
202411,사하구,부동산업,서비스업,부분,11,지역업종,통과,지역업종학습,202511,전년동월,1
202411,사하구,소매업,쇼핑업,중간,84,지역업종,통과,지역업종학습,202511,전년동월,1
202411,사하구,음식점업,식음료업,높음,56,지역업종,통과,지역업종학습,202511,전년동월,1
202411,서구,부동산업,서비스업,부분,11,지역업종,통과,지역업종학습,202511,전년동월,1
202411,서구,소매업,쇼핑업,중간,21,지역업종,통과,지역업종학습,202511,전년동월,1
202411,서구,음식점업,식음료업,높음,20,지역업종,통과,지역업종학습,202511,전년동월,1
202411,수영구,부동산업,서비스업,부분,29,지역업종,통과,지역업종학습,202511,전년동월,1
202411,수영구,소매업,쇼핑업,중간,64,지역업종,통과,지역업종학습,202511,전년동월,1
202411,수영구,음식점업,식음료업,높음,53,지역업종,통과,지역업종학습,202511,전년동월,1
202411,연제구,부동산업,서비스업,부분,26,지역업종,통과,지역업종학습,202511,전년동월,1
202411,연제구,소매업,쇼핑업,중간,67,지역업종,통과,지역업종학습,202511,전년동월,1
202411,연제구,음식점업,식음료업,높음,44,지역업종,통과,지역업종학습,202511,전년동월,1
202411,영도구,부동산업,서비스업,부분,6,지역업종,통과,지역업종학습,202511,전년동월,1
202411,영도구,소매업,쇼핑업,중간,39,지역업종,통과,지역업종학습,202511,전년동월,1
202411,영도구,음식점업,식음료업,높음,19,지역업종,통과,지역업종학습,202511,전년동월,1
202411,중구,부동산업,서비스업,부분,16,지역업종,통과,지역업종학습,202511,전년동월,1
202411,중구,소매업,쇼핑업,중간,25,지역업종,통과,지역업종학습,202511,전년동월,1
202411,중구,음식점업,식음료업,높음,32,지역업종,통과,지역업종학습,202511,전년동월,1
202411,해운대구,부동산업,서비스업,부분,64,지역업종,통과,지역업종학습,202511,전년동월,1
202411,해운대구,소매업,쇼핑업,중간,126,지역업종,통과,지역업종학습,202511,전년동월,1
202411,해운대구,음식점업,식음료업,높음,50,지역업종,통과,지역업종학습,202511,전년동월,1
202411,강서구,업종전체,,,230,지역전체,통과,지역총량분석,202511,전년동월,1
202411,금정구,업종전체,,,221,지역전체,통과,지역총량분석,202511,전년동월,1
202411,기장군,업종전체,,,200,지역전체,통과,지역총량분석,202511,전년동월,1
202411,남구,업종전체,,,222,지역전체,통과,지역총량분석,202511,전년동월,1
202411,동구,업종전체,,,149,지역전체,통과,지역총량분석,202511,전년동월,1
202411,동래구,업종전체,,,234,지역전체,통과,지역총량분석,202511,전년동월,1
202411,부산광역시 합계,업종전체,,,3534,지역전체,통과,지역총량분석,202511,전년동월,1
202411,부산진구,업종전체,,,430,지역전체,통과,지역총량분석,202511,전년동월,1
202411,북구,업종전체,,,200,지역전체,통과,지역총량분석,202511,전년동월,1
202411,사상구,업종전체,,,244,지역전체,통과,지역총량분석,202511,전년동월,1
202411,사하구,업종전체,,,255,지역전체,통과,지역총량분석,202511,전년동월,1
202411,서구,업종전체,,,90,지역전체,통과,지역총량분석,202511,전년동월,1
202411,수영구,업종전체,,,221,지역전체,통과,지역총량분석,202511,전년동월,1
202411,연제구,업종전체,,,234,지역전체,통과,지역총량분석,202511,전년동월,1
202411,영도구,업종전체,,,99,지역전체,통과,지역총량분석,202511,전년동월,1
202411,중구,업종전체,,,124,지역전체,통과,지역총량분석,202511,전년동월,1
202411,해운대구,업종전체,,,381,지역전체,통과,지역총량분석,202511,전년동월,1
202412,부산광역시 합계,IT관련 및 연구개발업,,,67,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,가구 및 기타제조업,,,21,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,건설업,,,240,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,고무 및 프라스틱 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,광고업 및 기타 산업관련 서비스업,,,220,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,광업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,교육서비스업,,,182,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,금융 및 금융관련 서비스업,,,22,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,기계장비 등 장비 임대업,,,9,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,기타 서비스업,,,219,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,기타 운송장비 제조업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,기타 전지기계 및 전기변환장치 제조업,,,18,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,기타기계 및 장비 제조업,,,42,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,기타도급제조업,,,18,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,농업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,도매 및 상품중개업,,,545,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,목재 및 나무제품 제조업(가구제외),,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,보건업,의료웰니스업,중간,32,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,보험 및 보험관련 서비스업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,부동산업,서비스업,부분,583,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,비금속광물 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,섬유제품 제조업,,,11,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,소매업,쇼핑업,중간,1932,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,숙박업,여행/숙박업,중간,37,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,어업,,,5,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,여행알선 및 운수관련 서비스업,,,78,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,운송업,운송업,중간,283,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,위생관련 서비스업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,음식료품 및 담배제조업,,,43,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,음식점업,식음료업,높음,852,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,의복 및 모피 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,인적용역,,,121,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,임업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,자동차 및 트레일러 제조업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,자동차관련 소매,운송업,부분,33,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,재생재료 및 가공처리업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,제1차 금속산업 제조업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,조립금속제품 제조업(기계 및 장비 제외),,,25,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,통신업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,부산광역시 합계,화합물 및 화학 제품 제조업,,,0,부산업종,해당없음,부산업종추세,202512,전년동월,1
202412,강서구,도매 및 상품중개업,,,41,지역업종,통과,지역업종학습,202512,전년동월,1
202412,강서구,부동산업,서비스업,부분,46,지역업종,통과,지역업종학습,202512,전년동월,1
202412,강서구,소매업,쇼핑업,중간,107,지역업종,통과,지역업종학습,202512,전년동월,1
202412,강서구,음식점업,식음료업,높음,42,지역업종,통과,지역업종학습,202512,전년동월,1
