기준연월,행정동,업종대분류명,외지인 소비액(만원),현지인 소비액(만원)
202205,남구,의료웰니스업,61422,5233
202205,동구,쇼핑업,965309,26826
202205,동구,숙박업,54847,2057
202205,동구,식음료업,851712,0
202205,동구,여가서비스업,116083,2
202205,동구,여행업,11633,0
202205,동구,운송업,759361,71
202205,동구,의료웰니스업,38739,0
202205,동래구,쇼핑업,1360000,131070
202205,동래구,숙박업,116371,35169
202205,동래구,식음료업,1520000,0
202205,동래구,여가서비스업,101792,7465
202205,동래구,여행업,96,2742
202205,동래구,운송업,444085,453
202205,동래구,의료웰니스업,97613,3971
202205,부산진구,쇼핑업,3950000,723171
202205,부산진구,숙박업,155103,19461
202205,부산진구,식음료업,3350000,0
202205,부산진구,여가서비스업,182949,16421
202205,부산진구,여행업,17177,6684
202205,부산진구,운송업,362391,138
202205,부산진구,의료웰니스업,312343,0
202205,북구,쇼핑업,6490000,57744
202205,북구,숙박업,22227,8316
202205,북구,식음료업,701853,0
202205,북구,여가서비스업,37513,10999
202205,북구,운송업,769798,74
202205,북구,의료웰니스업,47897,0
202205,사상구,쇼핑업,1060000,10666
202205,사상구,숙박업,25646,6154
202205,사상구,식음료업,954506,0
202205,사상구,여가서비스업,47475,1151
202205,사상구,운송업,1610000,909
202205,사상구,의료웰니스업,50415,782
202205,사하구,쇼핑업,706348,16741
202205,사하구,숙박업,13596,5320
202205,사하구,식음료업,797060,0
202205,사하구,여가서비스업,40807,7356
202205,사하구,운송업,884403,403
202205,사하구,의료웰니스업,56342,0
202205,서구,쇼핑업,412471,2939
202205,서구,숙박업,45835,2290
202205,서구,식음료업,524199,0
202205,서구,여가서비스업,81345,762
202205,서구,여행업,362,19
202205,서구,운송업,259000,128
202205,서구,의료웰니스업,19237,0
202205,수영구,쇼핑업,996922,5695
202205,수영구,숙박업,64935,9813
202205,수영구,식음료업,2150000,0
202205,수영구,여가서비스업,82489,862
202205,수영구,여행업,98,0
202205,수영구,운송업,339373,263
202205,수영구,의료웰니스업,91306,196
202205,연제구,쇼핑업,1700000,13432
202205,연제구,숙박업,24490,4625
202205,연제구,식음료업,1150000,0
202205,연제구,여가서비스업,62498,3824
202205,연제구,여행업,748,0
202205,연제구,운송업,834930,34
202205,연제구,의료웰니스업,73860,0
202205,영도구,쇼핑업,186141,5559
202205,영도구,숙박업,35002,3041
202205,영도구,식음료업,467044,0
202205,영도구,여가서비스업,18709,491
202205,영도구,여행업,64,0
202205,영도구,운송업,89793,415
202205,영도구,의료웰니스업,9110,1672
202205,중구,쇼핑업,1530000,56621
202205,중구,숙박업,70562,2183
202205,중구,식음료업,1430000,0
202205,중구,여가서비스업,68101,2042
202205,중구,여행업,7266,3
202205,중구,운송업,47766,0
202205,중구,의료웰니스업,79920,0
202205,해운대구,쇼핑업,10700000,4990000
202205,해운대구,숙박업,1000000,144860
202205,해운대구,식음료업,3370000,0
202205,해운대구,여가서비스업,263140,57180
202205,해운대구,여행업,11849,0
202205,해운대구,운송업,847919,279
202205,해운대구,의료웰니스업,190296,1226
202206,강서구,쇼핑업,963879,21129
202206,강서구,숙박업,42397,3106
202206,강서구,식음료업,857778,0
202206,강서구,여가서비스업,97589,8490
202206,강서구,운송업,3950000,1459
202206,강서구,의료웰니스업,31795,457
202206,금정구,쇼핑업,775041,103786
202206,금정구,숙박업,14792,4673
202206,금정구,식음료업,957547,0
202206,금정구,여가서비스업,154830,17636
202206,금정구,운송업,448930,151
202206,금정구,의료웰니스업,74266,6920
202206,기장군,쇼핑업,3590000,25013
202206,기장군,숙박업,427764,10010
202206,기장군,식음료업,1650000,0
202206,기장군,여가서비스업,464605,29344
202206,기장군,여행업,151,37
202206,기장군,운송업,1020000,42
202206,기장군,의료웰니스업,28271,2470
202206,남구,쇼핑업,667944,15516
202206,남구,숙박업,30835,4858
202206,남구,식음료업,848085,0
202206,남구,여가서비스업,103397,5967
202206,남구,운송업,1570000,0
202206,남구,의료웰니스업,76442,8862
202206,동구,쇼핑업,950002,24314
202206,동구,숙박업,58512,2730
202206,동구,식음료업,798955,0
202206,동구,여가서비스업,116349,7
202206,동구,여행업,7012,0
202206,동구,운송업,715373,140
202206,동구,의료웰니스업,38254,0
202206,동래구,쇼핑업,1340000,115371
202206,동래구,숙박업,98617,25928
202206,동래구,식음료업,1370000,0
202206,동래구,여가서비스업,85970,8233
202206,동래구,여행업,2153,167
202206,동래구,운송업,409437,273
202206,동래구,의료웰니스업,102173,4741
202206,부산진구,쇼핑업,3260000,600344
202206,부산진구,숙박업,155628,18084
202206,부산진구,식음료업,3040000,0
202206,부산진구,여가서비스업,174313,16236
202206,부산진구,여행업,23227,3924
202206,부산진구,운송업,352459,184
202206,부산진구,의료웰니스업,304438,0
202206,북구,쇼핑업,6260000,43427
202206,북구,숙박업,23832,7716
202206,북구,식음료업,640557,0
202206,북구,여가서비스업,45109,10394
202206,북구,여행업,1193,284
202206,북구,운송업,714776,0
202206,북구,의료웰니스업,52667,0
202206,사상구,쇼핑업,929500,9331
202206,사상구,숙박업,25443,5217
202206,사상구,식음료업,857334,0
202206,사상구,여가서비스업,54039,5565
202206,사상구,여행업,65,0
202206,사상구,운송업,1570000,1450
202206,사상구,의료웰니스업,47570,932
202206,사하구,쇼핑업,616404,13212
202206,사하구,숙박업,11194,5118
202206,사하구,식음료업,700396,0
202206,사하구,여가서비스업,38442,7126
202206,사하구,여행업,2556,0
202206,사하구,운송업,862694,659
202206,사하구,의료웰니스업,55968,0
202206,서구,쇼핑업,388112,1365
202206,서구,숙박업,45690,1735
202206,서구,식음료업,484127,0
202206,서구,여가서비스업,69048,1064
202206,서구,여행업,825,34
202206,서구,운송업,261374,56
202206,서구,의료웰니스업,18245,0
202206,수영구,쇼핑업,1010000,7788
202206,수영구,숙박업,65344,12868
202206,수영구,식음료업,2020000,0
202206,수영구,여가서비스업,89895,1218
202206,수영구,운송업,320590,0
202206,수영구,의료웰니스업,89801,118
202206,연제구,쇼핑업,1570000,16653
202206,연제구,숙박업,24349,3997
202206,연제구,식음료업,1030000,0
202206,연제구,여가서비스업,60963,3971
202206,연제구,여행업,2414,0
202206,연제구,운송업,798116,0
202206,연제구,의료웰니스업,77600,0
202206,영도구,쇼핑업,172210,3962
202206,영도구,숙박업,29315,2011
202206,영도구,식음료업,425418,0
202206,영도구,여가서비스업,17096,506
202206,영도구,여행업,61,0
202206,영도구,운송업,83508,293
202206,영도구,의료웰니스업,8471,1549
202206,중구,쇼핑업,1320000,45974
202206,중구,숙박업,68758,5596
202206,중구,식음료업,1310000,0
202206,중구,여가서비스업,52115,2172
202206,중구,여행업,9628,0
202206,중구,운송업,49781,0
202206,중구,의료웰니스업,79924,0
202206,해운대구,쇼핑업,9410000,4140000
202206,해운대구,숙박업,1070000,105881
202206,해운대구,식음료업,3240000,0
202206,해운대구,여가서비스업,255783,42157
202206,해운대구,여행업,3342,21
202206,해운대구,운송업,800326,1122
202206,해운대구,의료웰니스업,187716,1250
202207,강서구,쇼핑업,1070000,19125
202207,강서구,숙박업,62038,5277
202207,강서구,식음료업,954645,0
202207,강서구,여가서비스업,101950,9957
202207,강서구,운송업,4240000,1470
202207,강서구,의료웰니스업,31091,240
202207,금정구,쇼핑업,789749,110854
202207,금정구,숙박업,13580,5410
202207,금정구,식음료업,965936,0
202207,금정구,여가서비스업,148709,19100
202207,금정구,여행업,2260,400
202207,금정구,운송업,482281,0
202207,금정구,의료웰니스업,70413,5107
202207,기장군,쇼핑업,3720000,15173
202207,기장군,숙박업,561143,12810
202207,기장군,식음료업,1830000,0
202207,기장군,여가서비스업,489419,30918
202207,기장군,여행업,157,332
202207,기장군,운송업,1080000,0
202207,기장군,의료웰니스업,30940,2399
202207,남구,쇼핑업,722704,13856
202207,남구,숙박업,47659,5792
202207,남구,식음료업,886661,0
202207,남구,여가서비스업,95549,6276
202207,남구,여행업,958,0
202207,남구,운송업,1600000,0
202207,남구,의료웰니스업,68133,3124
202207,동구,쇼핑업,963366,21550
202207,동구,숙박업,78084,3079
202207,동구,식음료업,883543,0
202207,동구,여가서비스업,95297,77
202207,동구,여행업,12398,0
202207,동구,운송업,776090,159
202207,동구,의료웰니스업,37861,0
202207,동래구,쇼핑업,1240000,102770
202207,동래구,숙박업,103699,17533
202207,동래구,식음료업,1480000,0
202207,동래구,여가서비스업,89484,8225
202207,동래구,여행업,191,964
202207,동래구,운송업,441041,0
202207,동래구,의료웰니스업,98631,3187
202207,부산진구,쇼핑업,3410000,633003
202207,부산진구,숙박업,196461,18396
202207,부산진구,식음료업,3330000,0
202207,부산진구,여가서비스업,187766,16555
202207,부산진구,여행업,17343,1494
202207,부산진구,운송업,378515,63
202207,부산진구,의료웰니스업,322255,0
202207,북구,쇼핑업,6820000,44121
202207,북구,숙박업,25640,8464
202207,북구,식음료업,681211,0
202207,북구,여가서비스업,47811,11116
202207,북구,운송업,742528,410
202207,북구,의료웰니스업,52709,0
202207,사상구,쇼핑업,1040000,9947
202207,사상구,숙박업,29058,6674
202207,사상구,식음료업,864311,0
202207,사상구,여가서비스업,54778,4807
202207,사상구,여행업,53,0
202207,사상구,운송업,1660000,1602
202207,사상구,의료웰니스업,47101,769
202207,사하구,쇼핑업,627974,20054
202207,사하구,숙박업,16965,7232
202207,사하구,식음료업,766566,0
202207,사하구,여가서비스업,38412,6565
202207,사하구,운송업,789247,713
202207,사하구,의료웰니스업,51409,0
202207,서구,쇼핑업,389509,924
202207,서구,숙박업,56848,2197
202207,서구,식음료업,543955,0
202207,서구,여가서비스업,89867,1212
202207,서구,여행업,23,94
202207,서구,운송업,250956,0
202207,서구,의료웰니스업,21212,0
202207,수영구,쇼핑업,1020000,4766
202207,수영구,숙박업,73783,7704
202207,수영구,식음료업,2360000,0
202207,수영구,여가서비스업,110038,1155
202207,수영구,여행업,781,0
202207,수영구,운송업,356393,77
202207,수영구,의료웰니스업,92883,54
202207,연제구,쇼핑업,1800000,10356
202207,연제구,숙박업,26460,4753
202207,연제구,식음료업,1110000,0
202207,연제구,여가서비스업,61509,3819
202207,연제구,여행업,0,405
202207,연제구,운송업,823259,236
202207,연제구,의료웰니스업,79550,0
202207,영도구,쇼핑업,185939,4065
202207,영도구,숙박업,47074,2662
202207,영도구,식음료업,475050,0
202207,영도구,여가서비스업,18374,1101
202207,영도구,여행업,58,8
202207,영도구,운송업,93051,1200
202207,영도구,의료웰니스업,8795,1277
202207,중구,쇼핑업,1440000,43946
202207,중구,숙박업,92456,2171
202207,중구,식음료업,1360000,0
202207,중구,여가서비스업,62736,1607
202207,중구,여행업,2425,1
202207,중구,운송업,49613,0
202207,중구,의료웰니스업,81539,0
202207,해운대구,쇼핑업,9970000,4470000
202207,해운대구,숙박업,1440000,101285
202207,해운대구,식음료업,3790000,0
202207,해운대구,여가서비스업,307454,51023
202207,해운대구,여행업,10531,626
202207,해운대구,운송업,1010000,301
202207,해운대구,의료웰니스업,198704,1778
202208,강서구,쇼핑업,1110000,15510
