행정구명,사업장명,업태구분명,영업상태명,인허가일자,폐업일자,도로명주소,지번주소,경도,위도
해운대구,센텀시티호텔,일반호텔,영업,202401,,"부산광역시 해운대구 센텀3로 20, 벡스코 비지니스호텔 (우동)",부산광역시 해운대구 우동 1505 벡스코 비지니스호텔,129.1329128,35.16780174
해운대구,해운대센텀호텔,숙박업(생활),영업,202401,,"부산광역시 해운대구 센텀3로 20, 벡스코 비지니스호텔 (우동)",부산광역시 해운대구 우동 1505 벡스코 비지니스호텔,129.1329128,35.16780174
강서구,헤르몬 호텔,관광호텔,영업,202401,,"부산광역시 강서구 과학산단2로10번길 23, 헤르몬호텔 지하1~7층 (지사동)",부산광역시 강서구 지사동 1197-4,128.8322564,35.15009748
수영구,부산 하루스위트광안리풀빌라 펜션,숙박업(생활),영업,202401,,"부산광역시 수영구 광안해변로344번길 17-22, 나경크리스탈 타워 10층 (민락동)",부산광역시 수영구 민락동 110-28 나경크리스탈 타워,129.1319768,35.15503573
해운대구,로미스테이,숙박업(생활),영업,202401,,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 1층 108호 (중동)",부산광역시 해운대구 중동 1123 해운대푸르지오시티,129.1668175,35.16109798
중구,호텔그라운드27,일반호텔,영업,202312,,"부산광역시 중구 광복로 91, 3~7층 (광복동1가)",부산광역시 중구 광복동1가 27,129.0348062,35.09875161
수영구,모이지게스트하우스(MoiJi Guest House),숙박업(생활),영업,202312,,"부산광역시 수영구 광안해변로294번길 26, 4~5층 (민락동)",부산광역시 수영구 민락동 181-125,129.1260101,35.15523585
동구,정이든 스테이,숙박업(생활),영업,202312,,"부산광역시 동구 범곡로28번길 7, 지하1층 (범일동)",부산광역시 동구 범일동 65,129.0556336,35.14065284
기장군,헤이든 풀빌라,숙박업(생활),영업,202312,,"부산광역시 기장군 일광읍 문오성길 22, 1,2,3층",부산광역시 기장군 일광읍 동백리 449,129.2566662,35.28256975
서구,어반스테이 부산송도해변,일반호텔,영업,202312,,부산광역시 서구 송도해변로 97 (암남동),부산광역시 서구 암남동 234,129.0176111,35.07715392
해운대구,호텔 이루아,일반호텔,영업,202312,,"부산광역시 해운대구 해운대해변로298번길 29, 해운대푸르지오시티 근생B동 117호 (중동)",부산광역시 해운대구 중동 1123 해운대푸르지오시티,129.1668175,35.16109798
기장군,카이브 기장일광점,숙박업(생활),영업,202311,,"부산광역시 기장군 일광읍 삼성3길 7, 3,4층",부산광역시 기장군 일광읍 삼성리 115-49,129.2335339,35.26229214
영도구,영도 엘스테이,숙박업(생활),영업,202311,,부산광역시 영도구 동삼오션로 58 (동삼동),부산광역시 영도구 동삼동 1180,129.0833054,35.06913555
부산진구,프롬에이치 레포잉호텔 부산서면,숙박업(생활),폐업,202311,202411,"부산광역시 부산진구 중앙대로 752, 서면역 트루엘 센트럴 3~20층 (부전동)",부산광역시 부산진구 부전동 129-1 서면역 트루엘 센트럴,129.0609097,35.15931608
해운대구,패밀리 하우스(Family house 710),숙박업(생활),영업,202311,,"부산광역시 해운대구 중동1로19번길 7, 3층 (중동)",부산광역시 해운대구 중동 1379-4,129.1621883,35.16358472
해운대구,더솔리드,숙박업(생활),영업,202311,,"부산광역시 해운대구 구남로21번길 6, 705호 (중동)",부산광역시 해운대구 중동 1381-5,129.1607989,35.16227696
수영구,해피앤러브,숙박업(생활),영업,202310,,"부산광역시 수영구 민락본동로11번길 66, 4~6층 (민락동)",부산광역시 수영구 민락동 35-4,129.1251065,35.15700129
해운대구,와이컬렉션 해운대비치,숙박업(생활),영업,202310,,"부산광역시 해운대구 해운대해변로298번길 25, 영무 파라드 호텔 104호 (중동)",부산광역시 해운대구 중동 1124-8 영무 파라드 호텔,129.1665414,35.16094159
해운대구,보다스테이 5호점(송정),숙박업(생활),영업,202310,,"부산광역시 해운대구 송정광어골로 29, 수정빌딩 4층 (송정동)",부산광역시 해운대구 송정동 313-10 수정빌딩,129.1979103,35.17847241
해운대구,빌라 드 버틀러,숙박업(생활),영업,202310,,부산광역시 해운대구 중동1로19번길 7 (중동),부산광역시 해운대구 중동 1379-4,129.1621883,35.16358472
중구,오실라 남포,숙박업(생활),폐업,202310,202412,부산광역시 중구 중구로5번길 14 (남포동6가),부산광역시 중구 남포동6가 99,129.0265334,35.09826326
수영구,이집풀빌라,숙박업(생활),영업,202310,,"부산광역시 수영구 민락수변로 125, 골든뷰 8층 (민락동)",부산광역시 수영구 민락동 110-87 골든뷰,129.1340572,35.15526712
