기준연월,지역,외국인 방문자 수,구분
202402,서구,87774,외국인 방문자
202402,동구,101421,외국인 방문자
202402,영도구,112848,외국인 방문자
202402,부산진구,126317,외국인 방문자
202402,동래구,14966,외국인 방문자
202402,남구,86198,외국인 방문자
202402,북구,13684,외국인 방문자
202402,해운대구,163440,외국인 방문자
202402,사하구,74385,외국인 방문자
202402,금정구,20307,외국인 방문자
202402,강서구,256754,외국인 방문자
202402,연제구,23492,외국인 방문자
202402,수영구,44102,외국인 방문자
202402,사상구,29943,외국인 방문자
202402,기장군,75844,외국인 방문자
202401,중구,113243,외국인 방문자
202401,서구,80415,외국인 방문자
202401,동구,86228,외국인 방문자
202401,영도구,92840,외국인 방문자
202401,부산진구,112648,외국인 방문자
