기준연월,기초지자체,방문자 수,구분
202409,금정구,2850897,외지인 방문자
202409,기장군,3641946,외지인 방문자
202409,남구,2860641,외지인 방문자
202409,동구,3084837,외지인 방문자
202409,동래구,3442922,외지인 방문자
202409,부산진구,5984940,외지인 방문자
202409,북구,2154663,외지인 방문자
202409,사상구,2569648,외지인 방문자
202409,사하구,2177378,외지인 방문자
202409,서구,1813014,외지인 방문자
202409,수영구,3206304,외지인 방문자
202409,연제구,2625231,외지인 방문자
202409,영도구,1634157,외지인 방문자
202409,중구,3270026,외지인 방문자
202409,해운대구,5775126,외지인 방문자
202410,강서구,3641670,외지인 방문자
202410,금정구,2479054,외지인 방문자
202410,기장군,3470320,외지인 방문자
202410,남구,2527980,외지인 방문자
202410,동구,3146388,외지인 방문자
202410,동래구,3165186,외지인 방문자
202410,부산진구,5841364,외지인 방문자
202410,북구,2038918,외지인 방문자
202410,사상구,2444603,외지인 방문자
202410,사하구,2049579,외지인 방문자
202410,서구,1739283,외지인 방문자
202410,수영구,3148694,외지인 방문자
202410,연제구,2487090,외지인 방문자
202410,영도구,1506134,외지인 방문자
202410,중구,3381696,외지인 방문자
202410,해운대구,5685292,외지인 방문자
202411,강서구,3428288,외지인 방문자
202411,금정구,2483422,외지인 방문자
202411,기장군,3285905,외지인 방문자
