기준연월,기초지자체,방문자 수,구분
202604,해운대구,7274116,현지인 방문자
202605,해운대구,7760266,현지인 방문자
202606,해운대구,7604034,현지인 방문자
202607,해운대구,7643478,현지인 방문자
202302,해운대구,6631300,현지인 방문자
202301,해운대구,7299950,현지인 방문자
202303,해운대구,7480700,현지인 방문자
202304,해운대구,7082600,현지인 방문자
202305,해운대구,7575799,현지인 방문자
202306,해운대구,7128331,현지인 방문자
202307,해운대구,7275110,현지인 방문자
202308,해운대구,7236106,현지인 방문자
202309,해운대구,7057589,현지인 방문자
202310,해운대구,7493748,현지인 방문자
202311,해운대구,7334750,현지인 방문자
202312,해운대구,7162222,현지인 방문자
202401,해운대구,7337827,현지인 방문자
202402,해운대구,6727136,현지인 방문자
202403,해운대구,7332269,현지인 방문자
202404,해운대구,7103478,현지인 방문자
202405,해운대구,7427217,현지인 방문자
202406,해운대구,7207501,현지인 방문자
202407,해운대구,7400141,현지인 방문자
202408,해운대구,7221414,현지인 방문자
202409,해운대구,7114594,현지인 방문자
202410,해운대구,7382858,현지인 방문자
202411,해운대구,7277742,현지인 방문자
202412,해운대구,7588637,현지인 방문자
202501,해운대구,7193613,현지인 방문자
202502,해운대구,6697726,현지인 방문자
