연월,분석차원,분류,신설법인수,부산전체신설법인수,비중_pct,전월대비증감률_pct,전년동월대비증감률_pct,3개월이동평균,데이터상태,출처파일,검증_주의
202409,업종,제조업,47,289,16.26,11.9,-26.56,51.67,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202409,업종,건설업,20,289,6.92,-31.03,-31.03,27.67,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202409,업종,유통업,79,289,27.34,-9.2,1.28,89.0,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202409,업종,운수업,10,289,3.46,0.0,-23.08,10.67,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202409,업종,정보통신업,16,289,5.54,0.0,-5.88,20.33,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202409,업종,부동산 및 장비임대업,36,289,12.46,-5.26,-40.98,40.0,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202409,업종,서비스업,72,289,24.91,-12.2,-28.0,85.67,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202409,업종,기타,9,289,3.11,50.0,50.0,7.0,원문확인,2._2024년_9월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202410,업종,제조업,51,371,13.75,8.51,10.87,46.67,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202410,업종,건설업,25,371,6.74,25.0,-7.41,24.67,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202410,업종,유통업,110,371,29.65,39.24,25.0,92.0,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202410,업종,운수업,15,371,4.04,50.0,15.38,11.67,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202410,업종,정보통신업,23,371,6.2,43.75,9.52,18.33,원문확인,2._2024년_10월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
