연월,행정구,신설법인수,부산전체신설법인수,부산전체대비비중_pct,원문비중_pct,월내순위,전월대비증감수,전월대비증감률_pct,전년동월대비증감수,전년동월대비증감률_pct,3개월이동평균,6개월이동평균,데이터상태,수치생성방식,출처파일,검증_주의
202405,금정구,25,360,6.94,6.9,4,0,0.0,,,21.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,동구,22,360,6.11,6.1,6,-4,-15.38,,,21.33,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,사하구,16,360,4.44,4.4,10,-1,-5.88,,,18.67,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,북구,11,360,3.06,3.1,13,-3,-21.43,,,13.0,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,중구,10,360,2.78,2.8,14,-6,-37.5,,,12.0,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,서구,6,360,1.67,1.7,15,4,200.0,,,7.0,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202405,영도구,5,360,1.39,1.4,16,-4,-44.44,,,7.67,,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_5월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202406,강서구,36,317,11.36,11.4,2,-11,-23.4,,,43.0,47.0,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,해운대구,61,317,19.24,19.2,1,-8,-11.59,,,59.67,62.83,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,부산진구,27,317,8.52,8.5,4,-7,-20.59,,,38.33,37.5,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,기장군,23,317,7.26,7.3,5,8,53.33,,,19.0,21.33,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,남구,31,317,9.78,9.8,3,10,47.62,,,25.67,25.0,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,동래구,22,317,6.94,6.9,6,0,0.0,,,17.67,20.83,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,수영구,12,317,3.79,3.8,12,-6,-33.33,,,17.67,18.33,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,연제구,19,317,5.99,6.0,7,-4,-17.39,,,20.33,21.5,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,사상구,15,317,4.73,4.7,8,-1,-6.25,,,16.67,17.17,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,금정구,15,317,4.73,4.7,8,-10,-40.0,,,21.67,19.83,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,동구,14,317,4.42,4.4,10,-8,-36.36,,,20.67,19.5,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,사하구,10,317,3.15,3.2,14,-6,-37.5,,,14.33,17.17,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,북구,7,317,2.21,2.2,15,-4,-36.36,,,10.67,12.0,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,중구,13,317,4.1,4.1,11,3,30.0,,,13.0,12.0,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,서구,1,317,0.32,0.3,16,-5,-83.33,,,3.0,6.0,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202406,영도구,11,317,3.47,3.5,13,6,120.0,,,8.33,7.83,원문그래프직접,원문 구군별 그래프 개체수 직접 판독,2._2024년_6월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,
202407,강서구,56,397,14.11,14.1,2,20,55.56,,,46.33,44.83,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202407,해운대구,68,397,17.13,17.1,1,7,11.48,,,66.0,63.17,비중역산_합계검증,원문 직접 기재 개체수,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202407,부산진구,37,397,9.32,9.3,3,10,37.04,,,32.67,36.67,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202407,기장군,27,397,6.8,6.8,5,4,17.39,,,21.67,20.0,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202407,남구,20,397,5.04,5.0,11,-11,-35.48,,,24.0,23.67,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
202407,동래구,32,397,8.06,8.1,4,10,45.45,,,25.33,21.5,비중역산_합계검증,원문 비중에서 개체수 역산,2._2024년_7월중_부산지역_신설법인_현황_조사_보고서_대외용.pdf,원문에 기재된 구군 비중을 월총계에 역산해 정수 개체수로 복원했으며 16개 구군 합계가 월총계와 일치함.
