연월,행정구,신설법인수
202307,동래구,30
202307,부산진구,42
202307,북구,11
202307,사상구,29
202307,사하구,18
202307,서구,7
202307,수영구,21
202307,연제구,26
202307,영도구,3
202307,중구,13
202307,해운대구,74
202308,강서구,42
202308,금정구,19
202308,기장군,17
202308,남구,18
202308,동구,24
202308,동래구,17
202308,부산진구,36
202308,북구,12
202308,사상구,22
202308,사하구,24
202308,서구,7
202308,수영구,23
202308,연제구,20
202308,영도구,6
202308,중구,13
202308,해운대구,56
202309,강서구,38
202309,금정구,17
202309,기장군,37
202309,남구,18
202309,동구,20
202309,동래구,22
202309,부산진구,33
202309,북구,17
202309,사상구,27
202309,사하구,13
202309,서구,2
202309,수영구,20
202309,연제구,18
202309,영도구,7
202309,중구,16
202309,해운대구,62
202310,강서구,51
202310,금정구,20
202310,기장군,13
202310,남구,22
202310,동구,19
202310,동래구,17
202310,부산진구,31
202310,북구,10
202310,사상구,16
202310,사하구,22
202310,서구,9
202310,수영구,16
202310,연제구,25
202310,영도구,9
202310,중구,12
202310,해운대구,47
202311,강서구,43
202311,금정구,16
202311,기장군,19
202311,남구,21
202311,동구,15
202311,동래구,24
202311,부산진구,29
202311,북구,12
202311,사상구,31
202311,사하구,23
202311,서구,6
202311,수영구,16
202311,연제구,34
202311,영도구,8
202311,중구,13
202311,해운대구,56
202312,강서구,44
202312,금정구,22
202312,기장군,18
202312,남구,22
202312,동구,12
202312,동래구,19
202312,부산진구,31
202312,북구,12
202312,사상구,33
202312,사하구,20
202312,서구,6
202312,수영구,20
202312,연제구,21
202312,영도구,5
202312,중구,16
202312,해운대구,45
202401,강서구,74
202401,금정구,21
202401,기장군,39
202401,남구,33
202401,동구,26
202401,동래구,31
202401,부산진구,42
202401,북구,17
202401,사상구,26
202401,사하구,21
202401,서구,10
202401,수영구,27
202401,연제구,24
202401,영도구,8
202401,중구,16
202401,해운대구,67
202402,강서구,47
202402,금정구,18
202402,기장군,21
202402,남구,22
202402,동구,16
202402,동래구,17
202402,부산진구,31
202402,북구,11
202402,사상구,14
202402,사하구,18
202402,서구,4
202402,수영구,15
202402,연제구,26
202402,영도구,7
202402,중구,9
202402,해운대구,59
202403,강서구,36
202403,금정구,14
202403,기장군,15
202403,남구,28
202403,동구,17
202403,동래구,27
202403,부산진구,39
202403,북구,16
202403,사상구,15
202403,사하구,23
202403,서구,13
202403,수영구,13
202403,연제구,19
202403,영도구,9
202403,중구,10
202403,해운대구,74
202404,강서구,50
202404,금정구,26
202404,기장군,20
202404,남구,24
202404,동구,26
202404,동래구,9
202404,부산진구,52
202404,북구,16
202404,사상구,20
202404,사하구,22
202404,서구,3
202404,수영구,24
202404,연제구,21
202404,영도구,10
202404,중구,16
202404,해운대구,51
202405,강서구,48
202405,금정구,25
202405,기장군,16
202405,남구,21
202405,동구,23
202405,동래구,23
202405,부산진구,36
202405,북구,11
202405,사상구,16
202405,사하구,17
202405,서구,5
202405,수영구,17
202405,연제구,23
202405,영도구,6
202405,중구,10
202405,해운대구,74
202406,강서구,38
202406,금정구,17
202406,기장군,25
202406,남구,31
202406,동구,14
202406,동래구,23
202406,부산진구,29
202406,북구,7
202406,사상구,17
202406,사하구,12
202406,서구,2
202406,수영구,12
202406,연제구,21
202406,영도구,12
202406,중구,13
202406,해운대구,64
202407,강서구,58
202407,금정구,24
202407,기장군,27
202407,남구,21
202407,동구,20
202407,동래구,35
202407,부산진구,36
202407,북구,13
202407,사상구,12
202407,사하구,23
202407,서구,3
202407,수영구,27
202407,연제구,21
202407,영도구,6
202407,중구,14
202407,해운대구,71
202408,강서구,32
202408,금정구,20
202408,기장군,17
202408,남구,22
202408,동구,16
202408,동래구,18
202408,부산진구,33
202408,북구,11
202408,사상구,14
