구군,연월,주요유료관광지입장객수,집계관광지수
해운대구,202403,38067.0,1.0
해운대구,202404,41367.0,1.0
해운대구,202405,55607.0,1.0
해운대구,202406,61020.0,1.0
해운대구,202407,72321.0,1.0
해운대구,202408,88166.0,1.0
해운대구,202409,54304.0,1.0
해운대구,202410,51125.0,1.0
해운대구,202411,42844.0,1.0
해운대구,202412,49735.0,1.0
해운대구,202501,53067.0,1.0
해운대구,202502,50149.0,1.0
해운대구,202503,49915.0,1.0
해운대구,202504,45907.0,1.0
해운대구,202505,71353.0,1.0
해운대구,202506,57791.0,1.0
해운대구,202507,84473.0,1.0
해운대구,202508,102393.0,1.0
해운대구,202509,51777.0,1.0
해운대구,202510,69396.0,1.0
해운대구,202511,42395.0,1.0
해운대구,202512,53886.0,1.0
해운대구,202601,56973.0,1.0
해운대구,202602,59691.0,1.0
해운대구,202603,43298.0,1.0
해운대구,202604,0.0,1.0
해운대구,202605,0.0,1.0
해운대구,202606,0.0,1.0
사하구,202301,,
사하구,202302,,
사하구,202303,,
사하구,202304,,
사하구,202305,,
사하구,202306,,
사하구,202307,,
사하구,202308,,
사하구,202309,,
사하구,202310,,
사하구,202311,,
사하구,202312,,
사하구,202401,,
사하구,202402,,
사하구,202403,,
사하구,202404,,
사하구,202405,,
사하구,202406,,
사하구,202407,,
사하구,202408,,
사하구,202409,,
사하구,202410,,
사하구,202411,,
사하구,202412,,
사하구,202501,,
사하구,202502,,
사하구,202503,,
사하구,202504,,
사하구,202505,,
사하구,202506,,
사하구,202507,,
사하구,202508,,
사하구,202509,,
사하구,202510,,
사하구,202511,,
사하구,202512,,
사하구,202601,,
사하구,202602,,
사하구,202603,,
사하구,202604,,
사하구,202605,,
사하구,202606,,
금정구,202301,16655.0,1.0
금정구,202302,18938.0,1.0
금정구,202303,20845.0,1.0
금정구,202304,23823.0,1.0
금정구,202305,20147.0,1.0
금정구,202306,20394.0,1.0
금정구,202307,24037.0,1.0
금정구,202308,24048.0,1.0
금정구,202309,22376.0,1.0
금정구,202310,21896.0,1.0
금정구,202311,18269.0,1.0
금정구,202312,24411.0,1.0
금정구,202401,18344.0,1.0
금정구,202402,16979.0,1.0
금정구,202403,22726.0,1.0
금정구,202404,18137.0,1.0
금정구,202405,21341.0,1.0
금정구,202406,23133.0,1.0
금정구,202407,21229.0,1.0
금정구,202408,24147.0,1.0
금정구,202409,21418.0,1.0
금정구,202410,20765.0,1.0
금정구,202411,21196.0,1.0
